Task B3: Temperatures in All Countries between 30.0 and 30.5
Temperature, Year, Month, Country, Country_Code
30.29 (C), 86.52 (F), 2013, Aug, Egypt, EGY
30.29 (C), 86.52 (F), 2002, Mar, Togo, TGO
30.29 (C), 86.52 (F), 2002, Jul, Tunisia, TUN
30.29 (C), 86.52 (F), 2014, May, Saudi Arabia, SAU
30.29 (C), 86.53 (F), 2008, Aug, Libya, LBY
30.30 (C), 86.54 (F), 2000, Jun, Eritrea, ERI
30.30 (C), 86.54 (F), 2009, Jun, India, IND
30.30 (C), 86.55 (F), 2010, Mar, Guinea-Bissau, GNB
30.31 (C), 86.55 (F), 2014, Jun, Pakistan, PAK
30.31 (C), 86.55 (F), 2008, Jul, Chad, TCD
30.31 (C), 86.56 (F), 2015, Oct, Sudan, SDN
30.31 (C), 86.56 (F), 2010, May, Eritrea, ERI
30.31 (C), 86.56 (F), 2009, May, Saudi Arabia, SAU
30.31 (C), 86.56 (F), 2000, Mar, Burkina Faso, BFA
30.32 (C), 86.57 (F), 2007, May, South Sudan, SSD
30.32 (C), 86.57 (F), 2003, Oct, Bahrain, BHR
30.32 (C), 86.58 (F), 2016, Apr, Gambia,  GMB
30.32 (C), 86.58 (F), 2002, Mar, Ghana, GHA
30.33 (C), 86.59 (F), 2015, Oct, Niger, NER
30.33 (C), 86.59 (F), 2010, Apr, Ghana, GHA
30.33 (C), 86.59 (F), 2002, Apr, Sudan, SDN
30.33 (C), 86.59 (F), 2011, Mar, Togo, TGO
30.33 (C), 86.60 (F), 2003, Mar, Togo, TGO
30.33 (C), 86.60 (F), 2015, Feb, South Sudan, SSD
30.34 (C), 86.60 (F), 2016, Aug, Libya, LBY
30.34 (C), 86.61 (F), 2012, Feb, South Sudan, SSD
30.34 (C), 86.61 (F), 2006, Jun, Burkina Faso, BFA
30.34 (C), 86.61 (F), 2011, Jul, Syria, SYR
30.34 (C), 86.61 (F), 2015, May, Guinea-Bissau, GNB
30.34 (C), 86.61 (F), 2006, Oct, Mali, MLI
30.34 (C), 86.62 (F), 2001, May, Saudi Arabia, SAU
30.34 (C), 86.62 (F), 2006, May, Oman, OMN
30.34 (C), 86.62 (F), 2001, Mar, South Sudan, SSD
30.34 (C), 86.62 (F), 2003, Sep, Mali, MLI
30.35 (C), 86.62 (F), 2001, May, India, IND
30.35 (C), 86.62 (F), 2004, Mar, South Sudan, SSD
30.35 (C), 86.63 (F), 2000, Jun, Oman, OMN
30.35 (C), 86.63 (F), 2000, Jul, Libya, LBY
30.35 (C), 86.63 (F), 2007, Oct, Bahrain, BHR
30.35 (C), 86.63 (F), 2010, Mar, Cote d'Ivoire, CIV
30.35 (C), 86.63 (F), 2014, Jun, Burkina Faso, BFA
30.36 (C), 86.64 (F), 2006, May, India, IND
30.36 (C), 86.64 (F), 2001, Jul, Egypt, EGY
30.36 (C), 86.65 (F), 2007, Sep, Djibouti, DJI
30.36 (C), 86.65 (F), 2012, Jun, India, IND
30.36 (C), 86.65 (F), 2014, Sep, Iraq, IRQ
30.36 (C), 86.65 (F), 2010, Feb, Togo, TGO
30.37 (C), 86.66 (F), 2010, Mar, Gambia,  GMB
30.37 (C), 86.66 (F), 2007, Mar, Togo, TGO
30.37 (C), 86.66 (F), 2007, Jul, Libya, LBY
30.37 (C), 86.66 (F), 2007, Mar, Ghana, GHA
30.37 (C), 86.66 (F), 2002, May, Gambia,  GMB
30.37 (C), 86.66 (F), 2010, Jul, Chad, TCD
30.37 (C), 86.67 (F), 2000, Sep, Sudan, SDN
30.38 (C), 86.68 (F), 2004, Apr, Benin, BEN
30.38 (C), 86.68 (F), 2014, Sep, Djibouti, DJI
30.38 (C), 86.69 (F), 2009, May, Gambia,  GMB
30.38 (C), 86.69 (F), 2003, Oct, Qatar, QAT
30.38 (C), 86.69 (F), 2005, Feb, Burkina Faso, BFA
30.38 (C), 86.69 (F), 2003, Aug, Mali, MLI
30.39 (C), 86.69 (F), 2010, Mar, Nigeria, NGA
30.39 (C), 86.69 (F), 2012, Aug, Niger, NER
30.39 (C), 86.70 (F), 2006, Jul, Tunisia, TUN
30.39 (C), 86.70 (F), 2011, May, Oman, OMN
30.39 (C), 86.71 (F), 2014, Jun, Libya, LBY
30.39 (C), 86.71 (F), 2012, Sep, Niger, NER
30.39 (C), 86.71 (F), 2005, May, Guinea-Bissau, GNB
30.40 (C), 86.71 (F), 2007, Apr, Sudan, SDN
30.40 (C), 86.71 (F), 2009, Jun, Egypt, EGY
30.40 (C), 86.72 (F), 2000, May, Oman, OMN
30.40 (C), 86.72 (F), 2009, Apr, Benin, BEN
30.40 (C), 86.72 (F), 2005, Jul, Chad, TCD
30.40 (C), 86.73 (F), 2013, Jun, Eritrea, ERI
30.40 (C), 86.73 (F), 2013, May, Guinea-Bissau, GNB
30.40 (C), 86.73 (F), 2008, Jun, Oman, OMN
30.40 (C), 86.73 (F), 2013, Apr, Senegal, SEN
30.40 (C), 86.73 (F), 2007, Oct, Qatar, QAT
30.41 (C), 86.73 (F), 2004, Jul, Chad, TCD
30.41 (C), 86.74 (F), 2011, Jul, Tunisia, TUN
30.41 (C), 86.74 (F), 2011, May, Saudi Arabia, SAU
30.41 (C), 86.74 (F), 2009, Feb, South Sudan, SSD
30.41 (C), 86.74 (F), 2016, Apr, Ghana, GHA
30.42 (C), 86.75 (F), 2006, Aug, Syria, SYR
30.42 (C), 86.75 (F), 2005, Feb, Togo, TGO
30.42 (C), 86.75 (F), 2010, Feb, Benin, BEN
30.42 (C), 86.76 (F), 2007, Jun, Burkina Faso, BFA
30.42 (C), 86.76 (F), 2011, Oct, Mauritania, MRT
30.42 (C), 86.76 (F), 2005, Jun, India, IND
30.42 (C), 86.76 (F), 2007, Sep, Niger, NER
30.42 (C), 86.76 (F), 2010, Sep, Mali, MLI
30.42 (C), 86.76 (F), 2008, Aug, Sudan, SDN
30.42 (C), 86.76 (F), 2005, Oct, Mauritania, MRT
30.43 (C), 86.77 (F), 2004, Mar, Burkina Faso, BFA
30.43 (C), 86.77 (F), 2005, Jul, Turkmenistan, TKM
30.43 (C), 86.77 (F), 2011, May, India, IND
30.44 (C), 86.78 (F), 2002, Mar, South Sudan, SSD
30.44 (C), 86.79 (F), 2010, Jul, Tunisia, TUN
30.44 (C), 86.79 (F), 2007, Oct, Mali, MLI
30.44 (C), 86.79 (F), 2012, Apr, Sudan, SDN
30.44 (C), 86.80 (F), 2006, Aug, Sudan, SDN
30.44 (C), 86.80 (F), 2002, Oct, Bahrain, BHR
30.44 (C), 86.80 (F), 2015, May, Djibouti, DJI
30.44 (C), 86.80 (F), 2014, Oct, Mauritania, MRT
30.45 (C), 86.81 (F), 2001, Jun, Senegal, SEN
30.45 (C), 86.81 (F), 2000, Aug, Sudan, SDN
30.45 (C), 86.81 (F), 2008, Apr, Mauritania, MRT
30.45 (C), 86.81 (F), 2010, Jul, Syria, SYR
30.45 (C), 86.81 (F), 2015, Jun, Libya, LBY
30.45 (C), 86.82 (F), 2010, May, Saudi Arabia, SAU
30.45 (C), 86.82 (F), 2006, May, Saudi Arabia, SAU
30.46 (C), 86.83 (F), 2008, Apr, Sudan, SDN
30.46 (C), 86.83 (F), 2014, Sep, Algeria, DZA
30.46 (C), 86.83 (F), 2013, Jul, Chad, TCD
30.46 (C), 86.84 (F), 2003, Jun, Senegal, SEN
30.47 (C), 86.84 (F), 2014, Oct, Bahrain, BHR
30.47 (C), 86.84 (F), 2014, Aug, Tunisia, TUN
30.47 (C), 86.84 (F), 2009, Aug, Egypt, EGY
30.47 (C), 86.84 (F), 2015, Oct, Mali, MLI
30.47 (C), 86.85 (F), 2008, Aug, Syria, SYR
30.47 (C), 86.85 (F), 2016, Jul, Iran, IRN
30.47 (C), 86.85 (F), 2003, Apr, Nigeria, NGA
30.47 (C), 86.85 (F), 2005, Sep, Sudan, SDN
30.48 (C), 86.86 (F), 2009, Sep, Chad, TCD
30.48 (C), 86.87 (F), 2010, Jul, Turkmenistan, TKM
30.48 (C), 86.87 (F), 2004, Aug, Libya, LBY
30.48 (C), 86.87 (F), 2016, Mar, Togo, TGO
30.48 (C), 86.87 (F), 2013, Mar, Ghana, GHA
30.48 (C), 86.87 (F), 2009, May, Oman, OMN
30.48 (C), 86.87 (F), 2010, Oct, Sudan, SDN
30.49 (C), 86.87 (F), 2001, Apr, Nigeria, NGA
30.49 (C), 86.87 (F), 2004, Mar, Benin, BEN
30.49 (C), 86.88 (F), 2011, Jul, Turkmenistan, TKM
30.49 (C), 86.88 (F), 2011, Apr, Nigeria, NGA
30.49 (C), 86.88 (F), 2001, Apr, Thailand, THA
30.50 (C), 86.89 (F), 2002, Jun, Eritrea, ERI
30.50 (C), 86.90 (F), 2013, May, Kuwait, KWT

