Task A3: Temperatures within range 10.0 and 20.0 in Argentina
Temperature, Year, Month, Country, Country_Code
13.10 (C), 55.58 (F), 2014, Sep, Argentina, ARG
13.17 (C), 55.70 (F), 2011, Sep, Argentina, ARG
13.18 (C), 55.73 (F), 2012, Sep, Argentina, ARG
13.26 (C), 55.86 (F), 2015, Oct, Argentina, ARG
13.42 (C), 56.16 (F), 2016, Apr, Argentina, ARG
13.64 (C), 56.54 (F), 2002, Apr, Argentina, ARG
13.65 (C), 56.56 (F), 2003, Apr, Argentina, ARG
13.65 (C), 56.57 (F), 2010, Apr, Argentina, ARG
13.81 (C), 56.86 (F), 2001, Apr, Argentina, ARG
13.92 (C), 57.06 (F), 2008, Apr, Argentina, ARG
13.93 (C), 57.08 (F), 2014, Apr, Argentina, ARG
14.10 (C), 57.38 (F), 2012, Apr, Argentina, ARG
14.34 (C), 57.81 (F), 2005, Oct, Argentina, ARG
14.59 (C), 58.27 (F), 2000, Apr, Argentina, ARG
14.72 (C), 58.49 (F), 2006, Apr, Argentina, ARG
14.73 (C), 58.51 (F), 2011, Apr, Argentina, ARG
14.73 (C), 58.52 (F), 2011, Oct, Argentina, ARG
14.80 (C), 58.64 (F), 2004, Apr, Argentina, ARG
14.84 (C), 58.72 (F), 2007, Apr, Argentina, ARG
14.86 (C), 58.74 (F), 2016, Oct, Argentina, ARG
14.87 (C), 58.77 (F), 2010, Oct, Argentina, ARG
14.91 (C), 58.83 (F), 2000, Oct, Argentina, ARG
15.19 (C), 59.34 (F), 2004, Oct, Argentina, ARG
15.37 (C), 59.66 (F), 2013, Apr, Argentina, ARG
15.37 (C), 59.67 (F), 2001, Oct, Argentina, ARG
15.38 (C), 59.68 (F), 2009, Oct, Argentina, ARG
15.44 (C), 59.79 (F), 2008, Oct, Argentina, ARG
15.52 (C), 59.93 (F), 2012, Oct, Argentina, ARG
15.74 (C), 60.32 (F), 2002, Oct, Argentina, ARG
15.79 (C), 60.43 (F), 2007, Oct, Argentina, ARG
15.91 (C), 60.63 (F), 2013, Oct, Argentina, ARG
15.97 (C), 60.74 (F), 2015, Apr, Argentina, ARG
16.13 (C), 61.03 (F), 2003, Oct, Argentina, ARG
16.13 (C), 61.04 (F), 2006, Oct, Argentina, ARG
16.13 (C), 61.04 (F), 2009, Apr, Argentina, ARG
16.39 (C), 61.51 (F), 2000, Nov, Argentina, ARG
16.67 (C), 62.00 (F), 2013, Mar, Argentina, ARG
16.73 (C), 62.11 (F), 2014, Mar, Argentina, ARG
16.85 (C), 62.33 (F), 2014, Oct, Argentina, ARG
17.03 (C), 62.65 (F), 2000, Mar, Argentina, ARG
17.12 (C), 62.82 (F), 2001, Nov, Argentina, ARG
17.14 (C), 62.85 (F), 2007, Nov, Argentina, ARG
17.25 (C), 63.05 (F), 2004, Nov, Argentina, ARG
17.27 (C), 63.08 (F), 2015, Nov, Argentina, ARG
17.60 (C), 63.67 (F), 2006, Mar, Argentina, ARG
17.61 (C), 63.70 (F), 2010, Nov, Argentina, ARG
17.64 (C), 63.76 (F), 2014, Nov, Argentina, ARG
17.66 (C), 63.78 (F), 2002, Nov, Argentina, ARG
17.68 (C), 63.82 (F), 2005, Mar, Argentina, ARG
17.74 (C), 63.93 (F), 2007, Mar, Argentina, ARG
17.75 (C), 63.96 (F), 2002, Mar, Argentina, ARG
17.76 (C), 63.96 (F), 2006, Nov, Argentina, ARG
17.79 (C), 64.02 (F), 2011, Mar, Argentina, ARG
17.83 (C), 64.09 (F), 2016, Nov, Argentina, ARG
17.84 (C), 64.11 (F), 2016, Mar, Argentina, ARG
17.91 (C), 64.24 (F), 2009, Nov, Argentina, ARG
18.14 (C), 64.66 (F), 2001, Mar, Argentina, ARG
18.20 (C), 64.76 (F), 2013, Nov, Argentina, ARG
18.22 (C), 64.80 (F), 2008, Mar, Argentina, ARG
18.32 (C), 64.98 (F), 2003, Nov, Argentina, ARG
18.48 (C), 65.26 (F), 2005, Nov, Argentina, ARG
18.49 (C), 65.28 (F), 2003, Mar, Argentina, ARG
18.57 (C), 65.43 (F), 2012, Mar, Argentina, ARG
18.83 (C), 65.89 (F), 2012, Nov, Argentina, ARG
18.94 (C), 66.08 (F), 2015, Mar, Argentina, ARG
18.98 (C), 66.16 (F), 2011, Nov, Argentina, ARG
19.02 (C), 66.24 (F), 2003, Dec, Argentina, ARG
19.04 (C), 66.27 (F), 2010, Mar, Argentina, ARG
19.09 (C), 66.36 (F), 2004, Mar, Argentina, ARG
19.38 (C), 66.88 (F), 2009, Dec, Argentina, ARG
19.40 (C), 66.92 (F), 2009, Mar, Argentina, ARG
19.47 (C), 67.05 (F), 2000, Feb, Argentina, ARG
19.59 (C), 67.26 (F), 2002, Dec, Argentina, ARG
19.60 (C), 67.28 (F), 2008, Nov, Argentina, ARG
19.63 (C), 67.33 (F), 2000, Dec, Argentina, ARG
19.63 (C), 67.33 (F), 2005, Dec, Argentina, ARG
19.64 (C), 67.35 (F), 2014, Feb, Argentina, ARG
19.89 (C), 67.81 (F), 2014, Dec, Argentina, ARG
19.90 (C), 67.81 (F), 2002, Feb, Argentina, ARG
19.95 (C), 67.90 (F), 2010, Feb, Argentina, ARG
20.00 (C), 68.00 (F), 2011, Feb, Argentina, ARG

